iter	RMSE
0	0.4935778813
1	0.4916451778
2	0.4906637778
3	0.4899752434
4	0.4892146702
5	0.4873171796
6	0.4847575248
7	0.4840018465
8	0.4827906979
9	0.481975054
10	0.4816462881
11	0.4791225236
12	0.478444897
13	0.4766005291
14	0.4743731365
15	0.4728230268
16	0.4716749408
17	0.4698793119
18	0.468524066
19	0.4673935927
20	0.4662680932
21	0.46474756
22	0.4638622399
23	0.462995445
24	0.4608316358
25	0.4593570836
26	0.4578071811
27	0.4567408793
28	0.4543664903
29	0.4528348691
30	0.4517479102
31	0.4500351766
32	0.4483507929
33	0.4468500929
34	0.4452061975
35	0.4437760243
36	0.4431104501
37	0.4414687956
38	0.4406957743
39	0.4400036033
40	0.437730635
41	0.4356849009
42	0.434107814
43	0.4318679415
44	0.430284949
45	0.4280673689
46	0.4265372365
47	0.4252585556
48	0.4243305827
49	0.4228259098
50	0.4223333517
51	0.4208102462
52	0.4203276988
53	0.419402017
54	0.4180904136
55	0.4167443368
56	0.4158672214
57	0.4139236659
58	0.4127833206
59	0.4119582197
60	0.4105401022
61	0.4093592525
62	0.4079567921
63	0.4071278978
64	0.4066832859
65	0.4054771381
66	0.4049699445
67	0.403675096
68	0.4022678239
69	0.4008377657
70	0.4000477137
71	0.3994539312
72	0.398214632
73	0.3975215458
74	0.3962800551
75	0.3948664876
76	0.3936681335
77	0.3930104611
78	0.3923884103
79	0.3910206759
80	0.3896410951
81	0.3888678153
82	0.3882231806
83	0.3869354605
84	0.385833601
85	0.384511397
86	0.3832025398
87	0.3812643032
88	0.3799427545
89	0.3794964955
90	0.3784297613
91	0.3779532083
92	0.3766383663
93	0.3754836493
94	0.3737288264
95	0.3725890779
96	0.3712510391
97	0.369984584
98	0.3682554611
99	0.3663997098
100	0.3652885675
101	0.3646848066
102	0.363627352
103	0.3617980156
104	0.3601071526
105	0.3589152324
106	0.3577039407
107	0.3571666216
108	0.3553723817
109	0.3548083865
110	0.3541242604
111	0.3539786542
112	0.3523243349
113	0.3516509863
114	0.3511045438
115	0.3506113593
116	0.3496018382
117	0.3484839406
118	0.3474442925
